,symbol,stamp,TENKAN,KIJUN,senkou_span_a,SENKOU,CHIKOU
1114,AAPL,2022-05-17 10:08:00,147.8503,148.25025,148.64749999999998,148.495,
1113,AAPL,2022-05-17 10:07:00,147.8503,148.25025,148.69,148.495,
1112,AAPL,2022-05-17 10:06:00,147.945,148.34494999999998,148.69,148.495,
1111,AAPL,2022-05-17 10:05:00,147.975,148.37495,148.69,148.495,
1110,AAPL,2022-05-17 10:04:00,147.975,148.37495,148.69,148.495,
1109,AAPL,2022-05-17 10:03:00,147.87495,148.37495,148.69,148.495,
1108,AAPL,2022-05-17 10:02:00,147.87495,148.37495,148.69,148.495,
1107,AAPL,2022-05-17 10:01:00,147.87495,148.37495,148.70749999999998,148.47,
1106,AAPL,2022-05-17 10:00:00,147.91505,148.37495,148.70749999999998,148.47,
1105,AAPL,2022-05-17 09:59:00,147.95499999999998,148.39999999999998,148.70749999999998,148.47,
1104,AAPL,2022-05-17 09:58:00,147.995,148.525,148.54,148.30505,
1103,AAPL,2022-05-17 09:57:00,147.995,148.525,148.54,148.305,
1102,AAPL,2022-05-17 09:56:00,147.995,148.525,148.54,148.305,
1101,AAPL,2022-05-17 09:55:00,148.15,148.525,148.44,148.20499999999998,
1100,AAPL,2022-05-17 09:54:00,148.25,148.595,148.44,148.20499999999998,
1099,AAPL,2022-05-17 09:53:00,148.37505,148.60005,148.332525,148.125,
1098,AAPL,2022-05-17 09:52:00,148.42005,148.60005,148.21249999999998,148.015,
1097,AAPL,2022-05-17 09:51:00,148.49,148.60005,148.21249999999998,148.015,
1096,AAPL,2022-05-17 09:50:00,148.49,148.60005,148.15109999999999,147.95499999999998,
1095,AAPL,2022-05-17 09:49:00,148.49,148.60005,148.13,147.94,
1094,AAPL,2022-05-17 09:48:00,148.49,148.60005,148.1225,147.94,
1093,AAPL,2022-05-17 09:47:00,148.55245000000002,148.66250000000002,148.1225,147.95499999999998,
1092,AAPL,2022-05-17 09:46:00,148.70995,148.70499999999998,148.11,147.95499999999998,
1091,AAPL,2022-05-17 09:45:00,148.70995,148.70499999999998,148.095,147.95499999999998,
1090,AAPL,2022-05-17 09:44:00,148.62495,148.66505,148.08499999999998,147.95499999999998,
1089,AAPL,2022-05-17 09:43:00,148.62495,148.64499999999998,148.08499999999998,147.95499999999998,
1088,AAPL,2022-05-17 09:42:00,148.64999999999998,148.64499999999998,148.08499999999998,147.95499999999998,147.43
1087,AAPL,2022-05-17 09:41:00,148.735,148.64499999999998,148.065,147.95499999999998,147.49
1086,AAPL,2022-05-17 09:40:00,148.735,148.64499999999998,148.04500000000002,147.95499999999998,147.63
1085,AAPL,2022-05-17 09:39:00,148.735,148.64499999999998,148.04500000000002,147.95499999999998,147.885
1084,AAPL,2022-05-17 09:38:00,148.735,148.64499999999998,148.04500000000002,147.95499999999998,148.02
1083,AAPL,2022-05-17 09:37:00,148.735,148.64499999999998,148.04500000000002,147.95499999999998,147.9555
1082,AAPL,2022-05-17 09:36:00,148.735,148.64499999999998,148.0275,147.95499999999998,147.9324
1081,AAPL,2022-05-17 09:35:00,148.76999999999998,148.64499999999998,148.015,147.95499999999998,147.7643
1080,AAPL,2022-05-17 09:34:00,148.76999999999998,148.64499999999998,148.015,147.95499999999998,147.91
1079,AAPL,2022-05-17 09:33:00,148.76999999999998,148.64499999999998,148.0136,147.95499999999998,147.7978
1078,AAPL,2022-05-17 09:32:00,148.57,148.51,147.977525,147.95499999999998,147.77
1077,AAPL,2022-05-17 09:31:00,148.57,148.51,147.97000000000003,147.95499999999998,147.9664
1076,AAPL,2022-05-17 09:30:00,148.57,148.51,147.95999999999998,147.95499999999998,148.1048
1075,AAPL,2022-05-17 09:29:00,148.47,148.41,147.8725,147.95499999999998,147.985
1074,AAPL,2022-05-17 09:28:00,148.47,148.41,147.8575,147.95499999999998,147.87
1073,AAPL,2022-05-17 09:27:00,148.35005,148.315,147.8475,147.95499999999998,148.075
1072,AAPL,2022-05-17 09:26:00,148.22,148.20499999999998,147.8475,147.95499999999998,148.0511
1071,AAPL,2022-05-17 09:25:00,148.22,148.20499999999998,147.8475,147.95499999999998,148.175
1070,AAPL,2022-05-17 09:24:00,148.16,148.1422,147.8475,147.95499999999998,148.0801
1069,AAPL,2022-05-17 09:23:00,148.16,148.10000000000002,147.776,147.95499999999998,147.93
1068,AAPL,2022-05-17 09:22:00,148.16,148.085,147.76850000000002,147.95499999999998,148.1535
1067,AAPL,2022-05-17 09:21:00,148.16,148.085,147.865,147.95499999999998,148.022
1066,AAPL,2022-05-17 09:20:00,148.16,148.06,147.87,147.95499999999998,148.455
1065,AAPL,2022-05-17 09:19:00,148.16,148.03,147.87,147.95499999999998,148.63
1064,AAPL,2022-05-17 09:18:00,148.16,148.01,147.8575,147.95499999999998,148.68
1063,AAPL,2022-05-17 09:17:00,148.16,148.01,147.8575,147.95499999999998,148.925
1062,AAPL,2022-05-17 09:16:00,148.16,148.01,147.8575,147.95499999999998,149.0
1061,AAPL,2022-05-17 09:15:00,148.14,147.99,147.842525,147.95499999999998,148.83
1060,AAPL,2022-05-17 09:14:00,148.12,147.97,147.84249999999997,147.95499999999998,148.88
1059,AAPL,2022-05-17 09:13:00,148.12,147.97,147.84249999999997,147.95499999999998,148.83
1058,AAPL,2022-05-17 09:12:00,148.12,147.97,147.84249999999997,147.95499999999998,148.53
1057,AAPL,2022-05-17 09:11:00,148.12,147.97,147.85,147.95499999999998,148.485
1056,AAPL,2022-05-17 09:10:00,148.095,147.96,147.86599999999999,147.95499999999998,148.49
1055,AAPL,2022-05-17 09:09:00,148.095,147.935,147.86599999999999,147.95499999999998,148.3401
1054,AAPL,2022-05-17 09:08:00,148.095,147.935,147.86599999999999,147.95499999999998,148.6912
1053,AAPL,2022-05-17 09:07:00,148.0922,147.935,147.86599999999999,147.95499999999998,149.1797
1052,AAPL,2022-05-17 09:06:00,148.05,147.90505000000002,147.8585,147.95499999999998,148.77
1051,AAPL,2022-05-17 09:05:00,148.03500000000003,147.905,147.8585,147.95499999999998,148.32
1050,AAPL,2022-05-17 09:04:00,148.025,147.89499999999998,147.95499999999998,147.95499999999998,148.4697
1049,AAPL,2022-05-17 09:03:00,147.925,147.82,147.95499999999998,147.95499999999998,148.86
1048,AAPL,2022-05-17 09:02:00,147.89499999999998,147.82,147.95499999999998,147.95499999999998,148.86
1047,AAPL,2022-05-17 09:01:00,147.875,147.82,147.95499999999998,147.95499999999998,148.67
1046,AAPL,2022-05-17 09:00:00,147.875,147.82,147.95499999999998,147.95499999999998,148.41
1045,AAPL,2022-05-17 08:59:00,147.875,147.82,147.95499999999998,147.95499999999998,148.48
1044,AAPL,2022-05-17 08:58:00,147.875,147.82,147.95499999999998,147.95499999999998,148.1
1043,AAPL,2022-05-17 08:57:00,147.79000000000002,147.762,147.97500000000002,147.97500000000002,148.15
1042,AAPL,2022-05-17 08:56:00,147.775,147.762,148.075,148.075,148.15
1041,AAPL,2022-05-17 08:55:00,147.775,147.95499999999998,148.07750000000001,148.10500000000002,148.25
1040,AAPL,2022-05-17 08:54:00,147.785,147.95499999999998,148.0825,148.10500000000002,148.07
1039,AAPL,2022-05-17 08:53:00,147.785,147.95499999999998,148.0825,148.10500000000002,148.11
1038,AAPL,2022-05-17 08:52:00,147.76,147.95499999999998,148.0825,148.10500000000002,147.99
1037,AAPL,2022-05-17 08:51:00,147.76,147.95499999999998,148.0825,148.10500000000002,148.0
1036,AAPL,2022-05-17 08:50:00,147.76,147.95499999999998,148.07,148.10500000000002,148.22
1035,AAPL,2022-05-17 08:49:00,147.73005,147.95499999999998,148.0525,148.10500000000002,148.33
1034,AAPL,2022-05-17 08:48:00,147.73,147.95499999999998,148.0525,148.10500000000002,148.12
1033,AAPL,2022-05-17 08:47:00,147.73,147.95499999999998,148.0525,148.10500000000002,148.13
1032,AAPL,2022-05-17 08:46:00,147.73,147.95499999999998,148.0525,148.10500000000002,148.1878
1031,AAPL,2022-05-17 08:45:00,147.745,147.95499999999998,148.0525,148.10500000000002,148.29
1030,AAPL,2022-05-17 08:44:00,147.777,147.95499999999998,148.03,148.10500000000002,148.1601
1029,AAPL,2022-05-17 08:43:00,147.777,147.95499999999998,148.0925,148.10500000000002,148.14
1028,AAPL,2022-05-17 08:42:00,147.777,147.95499999999998,148.10500000000002,148.10500000000002,148.1
1027,AAPL,2022-05-17 08:41:00,147.777,147.95499999999998,148.10500000000002,148.10500000000002,148.07
1026,AAPL,2022-05-17 08:40:00,147.762,147.95499999999998,148.10500000000002,148.10500000000002,148.08
1025,AAPL,2022-05-17 08:39:00,147.762,147.95499999999998,148.10500000000002,148.10500000000002,148.19
1024,AAPL,2022-05-17 08:38:00,147.95499999999998,147.95499999999998,148.10500000000002,148.10500000000002,148.25
1023,AAPL,2022-05-17 08:37:00,147.95499999999998,147.95499999999998,148.10500000000002,148.10500000000002,148.02
1022,AAPL,2022-05-17 08:36:00,147.95499999999998,147.95499999999998,148.10500000000002,148.10500000000002,147.98
1021,AAPL,2022-05-17 08:35:00,147.95499999999998,147.95499999999998,148.1775,148.175,148.02
1020,AAPL,2022-05-17 08:34:00,147.95499999999998,147.95499999999998,148.175,148.175,148.0
