"stamp","symbol","open","high","low","close","volume"
"2022-05-26 04:00:00","AAPL","140.53","140.53","139.6","139.96","21263"
"2022-05-26 04:05:00","AAPL","139.88","139.9","139.51","139.7","19146"
"2022-05-26 04:10:00","AAPL","139.66","139.68","139.19","139.19","11904"
"2022-05-26 04:15:00","AAPL","139.04","139.25","138.8","139","21026"
"2022-05-26 04:20:00","AAPL","138.9","139.13","138.59","138.85","12703"
"2022-05-26 04:25:00","AAPL","138.94","138.99","138.5","138.5","10082"
"2022-05-26 04:30:00","AAPL","138.5","138.53","138.44","138.53","8077"
"2022-05-26 04:35:00","AAPL","138.55","138.69","138.45","138.69","7566"
"2022-05-26 04:40:00","AAPL","138.7","138.7","138.66","138.66","696"
"2022-05-26 04:45:00","AAPL","138.7","138.8","138.5","138.5","18042"
"2022-05-26 04:50:00","AAPL","138.41","138.41","138.25","138.32","18877"
"2022-05-26 04:55:00","AAPL","138.36","138.4","138.28","138.28","6865"
"2022-05-26 05:00:00","AAPL","138.32","138.37","138.03","138.19","9408"
"2022-05-26 05:05:00","AAPL","138.2","138.3","138.1","138.3","12239"
"2022-05-26 05:10:00","AAPL","138.4","138.52","138.3","138.35","12074"
"2022-05-26 05:15:00","AAPL","138.35","138.5","138.35","138.4","6275"
"2022-05-26 05:20:00","AAPL","138.45","138.45","138.36","138.45","18153"
"2022-05-26 05:25:00","AAPL","138.49","138.49","138.35","138.35","4587"
"2022-05-26 05:30:00","AAPL","138.39","138.46","138.39","138.46","5178"
"2022-05-26 05:35:00","AAPL","138.5","138.5","138.5","138.5","2134"
"2022-05-26 05:40:00","AAPL","138.49","138.55","138.46","138.55","2513"
"2022-05-26 05:45:00","AAPL","138.58","138.62","138.57","138.62","18134"
"2022-05-26 05:50:00","AAPL","138.62","138.62","138.48","138.5","12152"
"2022-05-26 05:55:00","AAPL","138.53","138.54","138.39","138.43","3693"
"2022-05-26 06:00:00","AAPL","138.41","138.44","138.3","138.4","4011"
"2022-05-26 06:05:00","AAPL","138.4","138.49","138.31","138.49","5708"
"2022-05-26 06:10:00","AAPL","138.5","138.5","138.31","138.32","2559"
"2022-05-26 06:15:00","AAPL","138.39","138.43","138.38","138.38","5893"
"2022-05-26 06:20:00","AAPL","138.39","138.4","138.36","138.4","1197"
"2022-05-26 06:25:00","AAPL","138.4","138.45","138.4","138.4","1605"
"2022-05-26 06:30:00","AAPL","138.44","138.56","138.44","138.56","3503"
"2022-05-26 06:35:00","AAPL","138.57","138.58","138.51","138.51","5936"
"2022-05-26 06:40:00","AAPL","138.55","138.63","138.51","138.55","4987"
"2022-05-26 06:45:00","AAPL","138.59","138.6","138.59","138.6","1275"
"2022-05-26 06:50:00","AAPL","138.65","138.93","138.65","138.91","5559"
"2022-05-26 06:55:00","AAPL","138.91","139.09","138.89","138.9","15223"
"2022-05-26 07:00:00","AAPL","138.89","139.5","138.59","139.49","78088"
"2022-05-26 07:05:00","AAPL","139.44","139.45","139.13","139.19","30716"
"2022-05-26 07:10:00","AAPL","139.15","139.4","139.1","139.37","22555"
"2022-05-26 07:15:00","AAPL","139.35","139.39","139.16","139.26","12199"
"2022-05-26 07:20:00","AAPL","139.25","139.48","139.25","139.46","43342"
"2022-05-26 07:25:00","AAPL","139.47","139.82","139.4","139.64","24281"
"2022-05-26 07:30:00","AAPL","139.6","139.64","139.25","139.25","16829"
"2022-05-26 07:35:00","AAPL","139.23","139.29","139","139.23","26878"
"2022-05-26 07:40:00","AAPL","139.15","139.18","139.03","139.17","20433"
"2022-05-26 07:45:00","AAPL","139.17","139.25","139.1","139.21","12898"
"2022-05-26 07:50:00","AAPL","139.24","139.32","139.01","139.06","23936"
"2022-05-26 07:55:00","AAPL","139.03","139.03","138.85","138.92","33319"
"2022-05-26 08:00:00","AAPL","138.91","138.95","138.67","138.83","76014"
"2022-05-26 08:05:00","AAPL","138.83","139.25","138.7","138.8496","79193"
"2022-05-26 08:10:00","AAPL","138.85","138.92","138.78","138.9","38607"
"2022-05-26 08:15:00","AAPL","138.85","138.92","138.7","138.92","70577"
"2022-05-26 08:20:00","AAPL","138.9099","138.98","138.83","138.89","34533"
"2022-05-26 08:25:00","AAPL","138.93","138.98","138.9","138.9099","14401"
"2022-05-26 08:30:00","AAPL","138.89","139.25","138.55","138.68","156423"
"2022-05-26 08:35:00","AAPL","138.73","138.95","138.5","138.78","83508"
"2022-05-26 08:40:00","AAPL","138.74","138.93","138.65","138.86","65311"
"2022-05-26 08:45:00","AAPL","138.75","138.91","138.46","138.47","70224"
"2022-05-26 08:50:00","AAPL","138.48","139","138.28","138.81","113846"
"2022-05-26 08:55:00","AAPL","138.84","138.84","138.5899","138.68","60026"
"2022-05-26 09:00:00","AAPL","138.65","138.7001","138.45","138.45","129404"
"2022-05-26 09:05:00","AAPL","138.45","138.48","138.11","138.34","218448"
"2022-05-26 09:10:00","AAPL","138.32","138.45","138.27","138.33","59116"
"2022-05-26 09:15:00","AAPL","138.3","138.3","137.71","137.78","301392"
"2022-05-26 09:20:00","AAPL","137.8199","138.23","137.59","137.59","148200"
"2022-05-26 09:25:00","AAPL","137.59","137.97","137.33","137.39","129951"
"2022-05-26 09:30:00","AAPL","137.39","138.9","137.14","138.25","3811853"
"2022-05-26 09:35:00","AAPL","138.25","139.4799","138.1834","139.1277","2223955"
"2022-05-26 09:40:00","AAPL","139.13","139.42","138.84","139.2974","1359653"
"2022-05-26 09:45:00","AAPL","139.31","140.08","139.175","139.915","1793964"
"2022-05-26 09:50:00","AAPL","139.92","140.97","139.83","140.52","1713307"
"2022-05-26 09:55:00","AAPL","140.5","140.7584","140.31","140.615","1198987"
"2022-05-26 10:00:00","AAPL","140.64","141","140.53","140.6","1557186"
"2022-05-26 10:05:00","AAPL","140.59","140.74","140.36","140.59","1286677"
"2022-05-26 10:10:00","AAPL","140.6","140.94","140.401","140.8399","1030110"
"2022-05-26 10:15:00","AAPL","140.83","141.69","140.8","141.69","1694592"
"2022-05-26 10:20:00","AAPL","141.6953","141.7","141.305","141.46","1142271"
"2022-05-26 10:25:00","AAPL","141.46","141.4768","141.02","141.15","978393"
"2022-05-26 10:30:00","AAPL","141.17","141.255","140.84","141.01","974746"
"2022-05-26 10:35:00","AAPL","141","141.34","140.98","141.28","848397"
"2022-05-26 10:40:00","AAPL","141.2507","141.535","137.4","141.43","1872602"
"2022-05-26 10:45:00","AAPL","141.43","141.69","141.285","141.69","800185"
"2022-05-26 10:50:00","AAPL","141.69","141.97","141.515","141.6359","957294"
"2022-05-26 10:55:00","AAPL","141.64","141.9","141.51","141.8701","732369"
"2022-05-26 11:00:00","AAPL","141.87","142.79","141.79","142.745","1650435"
"2022-05-26 11:05:00","AAPL","142.7","142.77","142.39","142.4699","969696"
"2022-05-26 11:10:00","AAPL","142.4501","142.79","142.4","142.7813","848435"
"2022-05-26 11:15:00","AAPL","142.79","143.03","142.74","142.94","1099211"
"2022-05-26 11:20:00","AAPL","142.93","143.11","142.64","142.68","997870"
"2022-05-26 11:25:00","AAPL","142.68","142.74","142.45","142.525","711113"
"2022-05-26 11:30:00","AAPL","142.535","142.79","142.395","142.4","769144"
"2022-05-26 11:35:00","AAPL","142.401","142.77","142.31","142.7089","861204"
"2022-05-26 11:40:00","AAPL","142.71","142.97","142.57","142.97","723787"
"2022-05-26 11:45:00","AAPL","142.98","143.0101","142.5","142.635","744411"
"2022-05-26 11:50:00","AAPL","142.63","142.91","142.54","142.86","631155"
"2022-05-26 11:55:00","AAPL","142.865","143.09","142.84","142.96","769155"
"2022-05-26 12:00:00","AAPL","142.96","143.24","142.82","143.17","943630"
"2022-05-26 12:05:00","AAPL","143.17","143.26","143.05","143.14","621804"
"2022-05-26 12:10:00","AAPL","143.1399","143.71","143.13","143.6899","1192370"
"2022-05-26 12:15:00","AAPL","143.68","143.99","143.54","143.98","1046924"
"2022-05-26 12:20:00","AAPL","143.985","144.336","143.985","144.17","1496612"
